info face="Philosopher" size=36 bold=1 italic=0 charset="" unicode=1 stretchH=100 smooth=1 aa=1 padding=0,0,0,0 spacing=1,1 outline=0
common lineHeight=36 base=29 scaleW=512 scaleH=512 pages=1 packed=0 alphaChnl=0 redChnl=4 greenChnl=4 blueChnl=4
page id=0 file="philosopher bold no italic size 36 texture 512_0.png"
chars count=161
char id=32   x=317   y=26    width=3     height=1     xoffset=-1    yoffset=35    xadvance=8     page=0  chnl=15
char id=33   x=434   y=72    width=6     height=23    xoffset=1     yoffset=6     xadvance=8     page=0  chnl=15
char id=34   x=0     y=143   width=11    height=9     xoffset=1     yoffset=6     xadvance=13    page=0  chnl=15
char id=35   x=438   y=24    width=23    height=23    xoffset=0     yoffset=6     xadvance=23    page=0  chnl=15
char id=36   x=289   y=0     width=17    height=27    xoffset=1     yoffset=4     xadvance=18    page=0  chnl=15
char id=37   x=61    y=31    width=25    height=23    xoffset=0     yoffset=6     xadvance=25    page=0  chnl=15
char id=38   x=92    y=54    width=21    height=23    xoffset=0     yoffset=6     xadvance=21    page=0  chnl=15
char id=39   x=12    y=143   width=5     height=9     xoffset=1     yoffset=6     xadvance=7     page=0  chnl=15
char id=40   x=25    y=0     width=11    height=30    xoffset=0     yoffset=6     xadvance=11    page=0  chnl=15
char id=41   x=37    y=0     width=11    height=30    xoffset=0     yoffset=6     xadvance=11    page=0  chnl=15
char id=42   x=489   y=112   width=14    height=11    xoffset=0     yoffset=6     xadvance=14    page=0  chnl=15
char id=43   x=452   y=112   width=18    height=14    xoffset=0     yoffset=11    xadvance=18    page=0  chnl=15
char id=44   x=504   y=112   width=6     height=9     xoffset=1     yoffset=25    xadvance=8     page=0  chnl=15
char id=45   x=74    y=143   width=11    height=3     xoffset=1     yoffset=19    xadvance=13    page=0  chnl=15
char id=46   x=67    y=143   width=6     height=4     xoffset=1     yoffset=25    xadvance=7     page=0  chnl=15
char id=47   x=358   y=74    width=16    height=23    xoffset=0     yoffset=6     xadvance=16    page=0  chnl=15
char id=48   x=195   y=78    width=18    height=23    xoffset=1     yoffset=6     xadvance=20    page=0  chnl=15
char id=49   x=501   y=0     width=9     height=23    xoffset=0     yoffset=6     xadvance=11    page=0  chnl=15
char id=50   x=392   y=73    width=16    height=23    xoffset=1     yoffset=6     xadvance=18    page=0  chnl=15
char id=51   x=233   y=77    width=18    height=23    xoffset=0     yoffset=6     xadvance=18    page=0  chnl=15
char id=52   x=80    y=79    width=19    height=23    xoffset=0     yoffset=6     xadvance=19    page=0  chnl=15
char id=53   x=157   y=78    width=18    height=23    xoffset=0     yoffset=6     xadvance=18    page=0  chnl=15
char id=54   x=100   y=78    width=18    height=23    xoffset=0     yoffset=6     xadvance=18    page=0  chnl=15
char id=55   x=307   y=76    width=16    height=23    xoffset=0     yoffset=6     xadvance=16    page=0  chnl=15
char id=56   x=214   y=78    width=18    height=23    xoffset=1     yoffset=6     xadvance=19    page=0  chnl=15
char id=57   x=119   y=78    width=18    height=23    xoffset=0     yoffset=6     xadvance=18    page=0  chnl=15
char id=58   x=445   y=113   width=6     height=16    xoffset=1     yoffset=13    xadvance=8     page=0  chnl=15
char id=59   x=175   y=102   width=6     height=21    xoffset=1     yoffset=13    xadvance=8     page=0  chnl=15
char id=60   x=225   y=102   width=19    height=17    xoffset=0     yoffset=9     xadvance=20    page=0  chnl=15
char id=61   x=18    y=143   width=20    height=8     xoffset=1     yoffset=14    xadvance=22    page=0  chnl=15
char id=62   x=205   y=102   width=19    height=17    xoffset=1     yoffset=9     xadvance=20    page=0  chnl=15
char id=63   x=324   y=76    width=16    height=23    xoffset=0     yoffset=6     xadvance=16    page=0  chnl=15
char id=64   x=207   y=0     width=29    height=28    xoffset=0     yoffset=6     xadvance=29    page=0  chnl=15
char id=65   x=388   y=25    width=24    height=23    xoffset=-1    yoffset=6     xadvance=21    page=0  chnl=15
char id=66   x=224   y=53    width=21    height=23    xoffset=0     yoffset=6     xadvance=21    page=0  chnl=15
char id=67   x=23    y=55    width=22    height=23    xoffset=0     yoffset=6     xadvance=22    page=0  chnl=15
char id=68   x=413   y=24    width=24    height=23    xoffset=0     yoffset=6     xadvance=24    page=0  chnl=15
char id=69   x=377   y=49    width=20    height=23    xoffset=0     yoffset=6     xadvance=20    page=0  chnl=15
char id=70   x=176   y=78    width=18    height=23    xoffset=0     yoffset=6     xadvance=18    page=0  chnl=15
char id=71   x=87    y=30    width=25    height=23    xoffset=0     yoffset=6     xadvance=24    page=0  chnl=15
char id=72   x=113   y=30    width=24    height=23    xoffset=0     yoffset=6     xadvance=24    page=0  chnl=15
char id=73   x=425   y=72    width=8     height=23    xoffset=2     yoffset=6     xadvance=10    page=0  chnl=15
char id=74   x=258   y=0     width=8     height=28    xoffset=-1    yoffset=6     xadvance=9     page=0  chnl=15
char id=75   x=138   y=30    width=24    height=23    xoffset=0     yoffset=6     xadvance=23    page=0  chnl=15
char id=76   x=419   y=48    width=20    height=23    xoffset=0     yoffset=6     xadvance=19    page=0  chnl=15
char id=77   x=345   y=0     width=27    height=24    xoffset=2     yoffset=6     xadvance=29    page=0  chnl=15
char id=78   x=46    y=55    width=22    height=23    xoffset=-1    yoffset=6     xadvance=23    page=0  chnl=15
char id=79   x=163   y=30    width=24    height=23    xoffset=0     yoffset=6     xadvance=24    page=0  chnl=15
char id=80   x=60    y=79    width=19    height=23    xoffset=0     yoffset=6     xadvance=19    page=0  chnl=15
char id=81   x=0     y=0     width=24    height=30    xoffset=0     yoffset=6     xadvance=24    page=0  chnl=15
char id=82   x=158   y=54    width=21    height=23    xoffset=0     yoffset=6     xadvance=20    page=0  chnl=15
char id=83   x=271   y=77    width=17    height=23    xoffset=1     yoffset=6     xadvance=19    page=0  chnl=15
char id=84   x=398   y=49    width=20    height=23    xoffset=0     yoffset=6     xadvance=19    page=0  chnl=15
char id=85   x=202   y=54    width=21    height=23    xoffset=0     yoffset=6     xadvance=23    page=0  chnl=15
char id=86   x=486   y=24    width=23    height=23    xoffset=-2    yoffset=6     xadvance=21    page=0  chnl=15
